Hour,Model_A_Traffic,Model_B_Chatbot,Model_C_Speech
0,46.4901424590337,27.278086377374088,41.718091447842305
1,44.58520709648645,30.55461294854933,35.16881012164875
2,46.94306561430208,24.245032112888488,48.928779489755215
3,49.569089569224076,31.87849009172836,47.49719781910662
4,44.29753987582999,26.996806550405974,46.592077690375596
5,44.297589129152456,28.541531251033618,51.93723362822809
6,49.737638446522176,26.991466938853016,51.465877055740286
7,47.302304187458724,39.26139092254469,47.35436830715123
8,43.591576842195146,29.93251387631033,34.44224589292435
9,46.627680130757895,64.71144535522049,33.258098620389596
10,43.60974692156261,74.11272456051594,33.4866182269134
11,43.60281073928923,63.89578175014489,35.08688475878857
12,45.7258868146981,71.04431797502377,27.813287933950317
13,39.260159266026605,20.201649380601122,30.90200618657649
14,39.8252465024609,23.359069755507846,29.27248562961552
15,43.31313741227708,30.984306179345616,32.65730038863418
16,41.96150663899673,33.69233289997705,46.760596823541235
17,45.942741997785824,60.85684140594985,53.092079586114636
18,42.275927773436365,59.42175858805879,48.51880157612208
19,40.76308889599412,58.494481522053555,54.994352181365514
20,49.39694630676466,52.60739004816286,51.230789346426384
21,44.32267109854039,26.400778958026457,44.082760869755624
22,45.202584614063774,27.696806145201062,45.79098892600449
23,40.72575544135963,35.285611131094576,47.69018283232985
