Hour,Model_A_Actual,Model_A_Allocated,Model_B_Actual,Model_B_Allocated,Model_C_Actual,Model_C_Allocated
0,46.4901424590337,47.357548,27.278086377374088,13.712874,41.71809144784231,38.929577
1,44.58520709648645,38.185795,30.55461294854933,27.951994,35.16881012164875,33.862206
2,46.94306561430208,51.85669,24.245032112888488,0.0,48.928779489755215,48.14331
3,49.56908956922408,47.817966,31.87849009172836,9.048179,47.49719781910662,43.133858
4,44.29753987582999,48.22966,26.99680655040597,0.98897254,46.5920776903756,50.78137
5,44.297589129152456,37.394863,28.541531251033614,0.77663416,51.93723362822809,61.828506
6,49.737638446522176,51.587044,26.991466938853016,0.0,51.465877055740286,48.41295
7,47.30230418745872,20.338133,39.26139092254469,35.839573,47.35436830715123,43.82229
8,43.591576842195146,38.222565,29.93251387631033,27.963902,34.44224589292435,33.813538
9,46.627680130757895,32.25475,64.71144535522049,42.62032,33.2580986203896,25.124931
10,43.60974692156261,27.528006,74.11272456051594,49.32215,33.4866182269134,23.149841
11,43.60281073928923,31.270132,63.89578175014489,43.268845,35.08688475878857,25.461023
12,45.7258868146981,29.228582,71.04431797502377,47.78672,27.81328793395032,22.9847
13,39.260159266026605,42.097248,20.20164938060112,20.965014,30.90200618657649,36.937733
14,39.8252465024609,38.880203,23.359069755507846,25.855154,29.27248562961552,35.264637
15,43.31313741227708,36.902626,30.984306179345616,30.290747,32.65730038863418,32.80663
16,41.96150663899673,7.321786,33.69233289997705,25.409454,46.76059682354124,67.26876
17,45.942741997785824,15.258323,60.85684140594985,47.543186,53.09207958611464,37.198498
18,42.275927773436365,17.2721,59.42175858805879,46.787968,48.51880157612208,35.939934
19,40.76308889599412,10.037171,58.49448152205356,48.7635,54.99435218136552,41.199333
20,49.39694630676466,13.806515,52.60739004816286,51.405216,51.230789346426384,34.788265
21,44.32267109854039,49.789326,26.400778958026457,3.2688148,44.08276086975562,46.94186
22,45.202584614063774,48.995785,27.696806145201062,2.9426389,45.79098892600449,48.06158
23,40.72575544135963,0.0,35.285611131094576,30.78006,47.69018283232985,69.21995
